domain,anchor_word,context_word,phase_type,phase_pre,phase_during,cooc_score_pre,cooc_score_during,cooc_drift,direction,paper_cosine_pre,paper_cosine_during,paper_cosine_drift,avg_abs_drift
security,security,sovereignty,security_crisis_phase,pre_security,during_security,0.00966,0.02057,0.01091,closer,0.365,0.381,0.016,0.005339
security,security,stability,security_crisis_phase,pre_security,during_security,0.055275,0.046941,-0.008334,farther,0.482,0.499,0.017,0.005339
security,security,development,security_crisis_phase,pre_security,during_security,0.027477,0.047996,0.020519,closer,0.345,0.326,-0.019,0.005339
security,security,military,security_crisis_phase,pre_security,during_security,0.020285,0.014065,-0.00622,farther,0.271,0.259,-0.012,0.005339
security,security,order,security_crisis_phase,pre_security,during_security,0.009874,0.013186,0.003312,closer,,,,0.005339
security,security,territorial,security_crisis_phase,pre_security,during_security,0.001717,0.004044,0.002327,closer,,,,0.005339
security,security,defense,security_crisis_phase,pre_security,during_security,0.007084,0.007384,0.0003,closer,,,,0.005339
security,security,integrity,security_crisis_phase,pre_security,during_security,0.001825,0.003868,0.002043,closer,,,,0.005339
security,security,alliance,security_crisis_phase,pre_security,during_security,0.001932,0.004747,0.002815,closer,,,,0.005339
security,security,conflict,security_crisis_phase,pre_security,during_security,0.001825,0.002461,0.000636,closer,,,,0.005339
security,security,threat,security_crisis_phase,pre_security,during_security,0.008694,0.007384,-0.00131,farther,,,,0.005339
health,health,stability,health_crisis_phase,pre_health,during_health,0.001704,0.001896,0.000192,closer,0.152,0.21,0.058,0.041196
health,health,economy,health_crisis_phase,pre_health,during_health,0.003409,0.01934,0.015931,closer,0.193,0.205,0.012,0.041196
health,health,crisis,health_crisis_phase,pre_health,during_health,0.006817,0.016686,0.009869,closer,0.18,0.192,0.012,0.041196
health,health,vaccine,health_crisis_phase,pre_health,during_health,0.000426,0.00493,0.004504,closer,0.188,0.179,-0.009,0.041196
health,health,economic,health_crisis_phase,pre_health,during_health,0.004687,0.019719,0.015032,closer,,,,0.041196
health,health,governance,health_crisis_phase,pre_health,during_health,0.0,0.005309,0.005309,closer,,,,0.041196
health,health,recovery,health_crisis_phase,pre_health,during_health,0.000426,0.003792,0.003366,closer,,,,0.041196
health,health,pandemic,health_crisis_phase,pre_health,during_health,0.0,0.010239,0.010239,closer,,,,0.041196
health,health,public,health_crisis_phase,pre_health,during_health,0.038773,0.140311,0.101538,closer,,,,0.041196
health,health,care,health_crisis_phase,pre_health,during_health,0.553899,0.252939,-0.30096,farther,,,,0.041196
health,health,system,health_crisis_phase,pre_health,during_health,0.03579,0.030338,-0.005452,farther,,,,0.041196
health,health,safety,health_crisis_phase,pre_health,during_health,0.014061,0.036026,0.021965,closer,,,,0.041196
