health_crisis_phase,bigram,tfidf_score,rank
during_health,vladimir putin,0.412526,1
during_health,russian federation,0.194754,2
during_health,covid 19,0.140098,3
during_health,president russia,0.085821,4
during_health,american people,0.07578,5
during_health,long time,0.075306,6
during_health,deputy prime,0.070759,7
during_health,little bit,0.066023,8
during_health,russia vladimir,0.064318,9
during_health,president trump,0.059392,10
during_health,law enforcement,0.059108,11
during_health,security council,0.057782,12
during_health,health care,0.050772,13
during_health,presidential executive,0.049541,14
during_health,executive order,0.049541,15
during_health,joe biden,0.048499,16
during_health,billion rubles,0.04831,17
during_health,executive office,0.048025,18
during_health,long term,0.048025,19
during_health,ambassador birx,0.046671,20
during_health,chief staff,0.046131,21
during_health,young people,0.042153,22
during_health,federal government,0.041963,23
during_health,million people,0.041774,24
during_health,staff presidential,0.041205,25
post_health,vladimir putin,0.454503,1
post_health,russian federation,0.219087,2
post_health,president russia,0.099601,3
post_health,russia vladimir,0.079175,4
post_health,deputy prime,0.078211,5
post_health,president biden,0.07333,6
post_health,military operation,0.070438,7
post_health,special military,0.06863,8
post_health,long time,0.059833,9
post_health,states america,0.055495,10
post_health,young people,0.054953,11
post_health,security council,0.053205,12
post_health,xi jinping,0.049409,13
post_health,st petersburg,0.049409,14
post_health,american people,0.049409,15
post_health,middle class,0.046577,16
post_health,long term,0.045975,17
post_health,presidential executive,0.045914,18
post_health,executive office,0.045794,19
post_health,billion rubles,0.044287,20
post_health,government russian,0.043866,21
post_health,health care,0.041817,22
post_health,audience member,0.041636,23
post_health,people republic,0.039829,24
post_health,chief staff,0.038864,25
pre_health,vladimir putin,0.470935,1
pre_health,president trump,0.195699,2
pre_health,president russia,0.111404,3
pre_health,russian federation,0.090494,4
pre_health,russia vladimir,0.090276,5
pre_health,long time,0.074648,6
pre_health,north korea,0.063691,7
pre_health,law enforcement,0.060067,8
pre_health,st petersburg,0.053869,9
pre_health,health care,0.048019,10
pre_health,security council,0.04588,11
pre_health,little bit,0.042955,12
pre_health,far east,0.042388,13
pre_health,billion rubles,0.042082,14
pre_health,god bless,0.039288,15
pre_health,young people,0.038764,16
pre_health,president xi,0.038153,17
pre_health,european union,0.036582,18
pre_health,middle east,0.035883,19
pre_health,executive order,0.034967,20
pre_health,american people,0.033875,21
pre_health,tax cuts,0.033002,22
pre_health,state duma,0.032304,23
pre_health,past years,0.032304,24
pre_health,armed forces,0.031954,25
