bigram,frequency,rank
vladimir putin,22686,1
russian federation,7765,2
president trump,5173,3
president russia,5111,4
russia vladimir,4061,5
long time,3498,6
security council,2544,7
deputy prime,2488,8
law enforcement,2464,9
american people,2396,10
st petersburg,2339,11
health care,2330,12
young people,2245,13
billion rubles,2209,14
little bit,2208,15
long term,1950,16
executive order,1926,17
presidential executive,1875,18
far east,1863,19
xi jinping,1852,20
god bless,1843,21
executive office,1839,22
covid 19,1838,23
president xi,1698,24
chief staff,1642,25
north korea,1614,26
state duma,1608,27
states america,1608,28
past years,1603,29
armed forces,1598,30
president biden,1573,31
middle east,1547,32
million people,1485,33
supreme court,1435,34
staff presidential,1418,35
economic development,1364,36
government russian,1352,37
th anniversary,1351,38
donald trump,1344,39
000 people,1313,40
ladies gentlemen,1288,41
middle class,1247,42
years years,1243,43
military operation,1228,44
economic growth,1204,45
strategic partnership,1201,46
people republic,1192,47
billions dollars,1188,48
climate change,1175,49
large scale,1145,50
men women,1145,51
special military,1142,52
european union,1139,53
period time,1125,54
president putin,1102,55
audience member,1093,56
federal government,1093,57
soviet union,1086,58
minister government,1068,59
doing job,1048,60
