country,label,entity,count
China,GPE,China,8776
China,GPE,US,620
China,GPE,the United States,307
China,GPE,Russia,293
China,GPE,U.S.,274
China,GPE,Taiwan,165
China,GPE,Afghanistan,153
China,GPE,BRICS,133
China,GPE,Beijing,125
China,GPE,Hong Kong,121
China,GPE,Myanmar,119
China,GPE,France,106
China,GPE,Xinjiang,90
China,GPE,Kazakhstan,86
China,GPE,China-Africa,84
China,GPE,Japan,84
China,GPE,Ukraine,81
China,GPE,Palestine,80
China,GPE,Shanghai,66
China,GPE,Egypt,61
China,NORP,Chinese,2270
China,NORP,African,401
China,NORP,Asian,145
China,NORP,Arab,134
China,NORP,Palestinian,103
China,NORP,American,88
China,NORP,European,61
China,NORP,Afghan,56
China,NORP,Central Asian,51
China,NORP,East Asian,50
China,NORP,Tajikistan,37
China,NORP,Russian,35
China,NORP,Eurasian,33
China,NORP,Iranian,29
China,NORP,Latin American,28
China,NORP,Syrian,27
China,NORP,Western,27
China,NORP,Islamic,25
China,NORP,Japanese,24
China,NORP,French,23
China,ORG,Chinaâs,531
China,ORG,UN,493
China,ORG,ASEAN,442
China,ORG,COVID-19,287
China,ORG,SCO,280
China,ORG,CPC,202
China,ORG,the United Nations,163
China,ORG,G20,149
China,ORG,BRI,142
China,ORG,Party,131
China,ORG,GDI,121
China,ORG,the UN Charter,118
China,ORG,EU,101
China,ORG,WTO,96
China,ORG,APEC,81
China,ORG,DPRK,81
China,ORG,the Global Development Initiative,80
China,ORG,the Communist Party of China,79
China,ORG,the CPC Central Committee,73
China,ORG,FOCAC,72
China,PERSON,Xi Jinping,780
China,PERSON,COVID-19,227
China,PERSON,Xi,153
China,PERSON,Wang Yi,125
China,PERSON,BRI,121
China,PERSON,Belt,91
China,PERSON,Li,77
China,PERSON,H.E. Xi JinpingPresident,58
China,PERSON,COVID,54
China,PERSON,Xi Jinping's,54
China,PERSON,Jiang,34
China,PERSON,Councilor,32
China,PERSON,Premier,29
China,PERSON,Xi Jinpingâs,27
China,PERSON,Li Keqiang,26
China,PERSON,AIIB,25
China,PERSON,H.E. Wang YiState Councilor,25
China,PERSON,Keynote Speech,25
China,PERSON,Putin,25
China,PERSON,Joe Biden,23
Russia,GPE,Russia,32925
Russia,GPE,the Russian Federation,5085
Russia,GPE,Moscow,4001
Russia,GPE,Ukraine,3393
Russia,GPE,China,3209
Russia,GPE,the Republic,2151
Russia,GPE,US,1879
Russia,GPE,United States,1792
Russia,GPE,Syria,1762
Russia,GPE,Kazakhstan,1471
Russia,GPE,India,1087
Russia,GPE,Iran,1042
Russia,GPE,Turkey,1017
Russia,GPE,Germany,945
Russia,GPE,Japan,864
Russia,GPE,France,841
Russia,GPE,the Soviet Union,815
Russia,GPE,Ukrainian,758
Russia,GPE,Belarus,747
Russia,GPE,Kyrgyzstan,614
Russia,NORP,Russian,14396
Russia,NORP,European,1560
Russia,NORP,Soviet,1116
Russia,NORP,Chinese,1074
Russia,NORP,African,924
Russia,NORP,Syrian,889
Russia,NORP,Russians,646
Russia,NORP,American,618
Russia,NORP,German,617
Russia,NORP,Sevastopol,585
Russia,NORP,Turkish,536
Russia,NORP,Ukrainian,488
