regime,label,entity,count
Authoritarian,GPE,Russia,33218
Authoritarian,GPE,China,11985
Authoritarian,GPE,the Russian Federation,5088
Authoritarian,GPE,Moscow,4004
Authoritarian,GPE,Ukraine,3474
Authoritarian,GPE,US,2499
Authoritarian,GPE,the Republic,2151
Authoritarian,GPE,Syria,1800
Authoritarian,GPE,United States,1795
Authoritarian,GPE,Kazakhstan,1557
Authoritarian,GPE,India,1142
Authoritarian,GPE,Iran,1069
Authoritarian,GPE,Turkey,1022
Authoritarian,GPE,Germany,958
Authoritarian,GPE,Japan,948
Authoritarian,GPE,France,947
Authoritarian,GPE,the Soviet Union,815
Authoritarian,GPE,Ukrainian,758
Authoritarian,GPE,Belarus,753
Authoritarian,GPE,Afghanistan,706
Authoritarian,NORP,Russian,14431
Authoritarian,NORP,Chinese,3344
Authoritarian,NORP,European,1621
Authoritarian,NORP,African,1325
Authoritarian,NORP,Soviet,1116
Authoritarian,NORP,Syrian,916
Authoritarian,NORP,American,706
Authoritarian,NORP,Russians,647
Authoritarian,NORP,German,623
Authoritarian,NORP,Sevastopol,585
Authoritarian,NORP,Turkish,536
Authoritarian,NORP,Tajikistan,508
Authoritarian,NORP,Eurasian,502
Authoritarian,NORP,Ukrainian,491
Authoritarian,NORP,French,459
Authoritarian,NORP,Japanese,396
Authoritarian,NORP,Asian,336
Authoritarian,NORP,Americans,334
Authoritarian,NORP,Palestinian,313
Authoritarian,NORP,Indian,291
Authoritarian,ORG,the Government,2824
Authoritarian,ORG,UN,1346
Authoritarian,ORG,the,1332
Authoritarian,ORG,Crimea,1033
Authoritarian,ORG,NATO,917
Authoritarian,ORG,the Presidential Executive Office,801
Authoritarian,ORG,Fatherland,797
Authoritarian,ORG,Presidential Executive Office,746
Authoritarian,ORG,the State Duma,733
Authoritarian,ORG,ASEAN,678
Authoritarian,ORG,the Federal Security Service,636
Authoritarian,ORG,SCO,600
Authoritarian,ORG,EU,548
Authoritarian,ORG,Chinaâs,531
Authoritarian,ORG,the Foreign Intelligence Service,523
Authoritarian,ORG,the Armed Forces,433
Authoritarian,ORG,the Eurasian Economic Union,431
Authoritarian,ORG,Navy,421
Authoritarian,ORG,the Defence Ministry,417
Authoritarian,ORG,the Ministry,408
Authoritarian,PERSON,Vladimir Putin,22084
